row_id,parent_category_pred_llm,reasoning,input_tokens,output_tokens
443,Restaurants,"Tim Hortons ist ein Restaurant/Café-Anbieter, und das Angebot bezieht sich auf einen kostenlosen Kaffee, was in die Kategorie Restaurants fällt.",317.0,95.0
445,Computers & Electronics,Ein Computermonitor ist ein elektronisches Gerät und fällt direkt unter Computers & Electronics.,313.0,67.0
449,Apparel,"Der Titel bezieht sich auf Rabatte bei Old Navy/Gap, beides Bekleidungsgeschäfte, und die thread_category ist bereits als 'Apparel' angegeben.",330.0,93.0
453,Computers & Electronics,"Der Titel bezieht sich auf Cashback beim Kauf von Apple-Produkten, die klassischen Unterkategorie 'Computers & Electronics' entsprechen.",311.0,89.0
457,Home & Garden,"Kaffee als Lebensmittel/Haushaltsprodukt für den Hausgebrauch fällt unter Haushaltswaren, da keine spezifische Restaurant- oder Lebensmittelkategorie in der Liste vorhanden ist.",355.0,112.0
458,Computers & Electronics,"Das Produkt ist ein Computer-Lautsprechersystem, was direkt der Kategorie Computers & Electronics entspricht.",328.0,74.0
460,Home & Garden,"Lebensmittel/Kaffee für den Haushalt fallen unter Haus & Garten, da es sich um Konsumgüter für den Heimgebrauch handelt und keine der spezifischeren Kategorien wie Restaurants zutrifft.",332.0,111.0
461,Home & Garden,"Eine Matratze ist ein Haushaltsartikel/Möbelstück für den Wohnbereich, passend zur Unterkategorie Home & Garden.",325.0,80.0
465,Apparel,"Brooks Ghost 12 sind Laufschuhe, ein Bekleidungs-/Schuhprodukt, und die Unterkategorie ist bereits als 'Apparel' angegeben.",313.0,91.0
466,Home & Garden,"Eine Schreibtischlampe ist ein Wohnaccessoire/Beleuchtungsprodukt, passend zur Unterkategorie Home & Garden.",318.0,82.0
475,Automotive,"Motoröl ist ein Fahrzeugpflegeprodukt, passt direkt zur Kategorie Automotive.",337.0,65.0
479,Computers & Electronics,"RAM-Speichermodule (DDR4 DRAM) sind Computerkomponenten, passend zur genannten Unterkategorie.",354.0,74.0
480,Travel,"Der Titel bezieht sich auf Reise-Trinkbecher (Travel Mugs), und die angegebene Unterkategorie ist bereits 'Travel', was direkt der zulässigen Hauptkategorie entspricht.",317.0,102.0
481,Home & Garden,"Die angegebene Unterkategorie ist bereits 'Home & Garden', und ein Camping-Stuhl mit Tisch passt zu Outdoor-Möbeln, die dieser Hauptkategorie zugeordnet werden.",306.0,107.0
483,Home & Garden,"Le Creuset ist Kochgeschirr, das unter Home & Garden fällt, und die thread_category bestätigt dies direkt.",312.0,72.0
485,Apparel,Der Thread ist bereits als 'Apparel' kategorisiert und der Titel bezieht sich auf einen Sommerschlussverkauf für Sorel-Schuhe/Bekleidung mit reduzierten Preisen.,307.0,103.0
487,Beauty & Wellness,"Hand sanitizer is a personal care/hygiene product, fitting the Beauty & Wellness category, consistent with the given thread_category.",316.0,74.0
492,Restaurants,Die Unterkategorie ist explizit 'Restaurants' und der Titel bezieht sich auf einen Pickup/Delivery-Rabatt bei einem Restaurant.,326.0,86.0
498,Computers & Electronics,"NVIDIA SHIELD Pro ist ein Streaming-/Android-TV-Gerät, also ein elektronisches Unterhaltungsgerät, das direkt in die Kategorie Computers & Electronics fällt.",318.0,105.0
501,Computers & Electronics,"Der Titel bezieht sich auf einen Intel CPU-Rabatt, also Computerhardware, was direkt unter die Kategorie Computers & Electronics fällt.",329.0,87.0
504,Beauty & Wellness,"Ein Multigroom-Trimmer ist ein Körperpflegegerät und fällt daher unter Beauty & Wellness, entsprechend der bereits angegebenen Unterkategorie.",312.0,95.0
505,Home & Garden,"Lebensmittel/Groceries-Angebote werden im Forum-Kontext typischerweise unter Haushaltsbedarf/Home & Garden eingeordnet, da es keine spezifischere passende Kategorie wie 'Food' gibt und Lebensmittel zum täglichen Haushaltsbedarf zählen.",324.0,138.0
506,Apparel,"Es handelt sich um ein Kleidungsstück (Trikot/Jersey), somit passt die Kategorie Apparel direkt zur bereits angegebenen Unterkategorie.",320.0,87.0
516,Restaurants,"Der Thread betrifft einen DoorDash-Rabatt für Essenslieferungen, was direkt der Kategorie Restaurants zuzuordnen ist.",312.0,81.0
517,Financial Services,"Der Titel bezieht sich auf Aeroplan- und TD-Angebote, die mit Kreditkarten/Treuepunkten und Bankdienstleistungen verbunden sind, weshalb dies trotz der Unterkategorie 'Groceries' als Finanzdienstleistung einzuordnen ist.",322.0,133.0
520,Computers & Electronics,"CPU cooler is a computer hardware component, matching the given thread category directly.",344.0,52.0
525,,[FEHLER/FALLBACK - kein gueltiges LLM-Ergebnis],0.0,0.0
528,Home & Garden,"Ein elektrischer Hochdruckreiniger ist ein Reinigungsgerät für Haus, Garten und Außenbereich, nicht spezifisch ein Automotive-Produkt, daher passt es besser zu Home & Garden.",325.0,108.0
530,Beauty & Wellness,"Hand sanitizer is a personal care/hygiene product, fitting directly under Beauty & Wellness.",316.0,64.0
533,Sports & Fitness,"Die angegebene Unterkategorie ist bereits 'Sports & Fitness' und der Titel deutet auf einen allgemeinen Sale hin, der zu dieser Kategorie passt.",314.0,94.0
534,Kids & Babies,"Das Produkt ist ein Kinderspielzeug (T-Ball-Set) von Little Tikes, passend zur angegebenen Unterkategorie 'Kids & Babies'.",315.0,90.0
536,Sports & Fitness,"Weider Pro 225 L Bench ist eine Trainingsbank für Krafttraining, ein klassisches Fitnessgerät.",308.0,74.0
540,Entertainment,"Die thread_category ist explizit als 'Entertainment' angegeben, und ohne weitere spezifische Produktinformationen im Titel wird diese direkte Kategoriezuordnung übernommen.",314.0,93.0
541,Computers & Electronics,"Ein Smart Fitness Tracker ist ein tragbares Elektronikgerät, das primär als Gadget/Wearable-Technologie kategorisiert wird, nicht als Fitnessausrüstung selbst.",363.0,103.0
542,Sports & Fitness,"Das Produkt ist ein Power Rack Cage für Krafttraining, ein Fitnessgerät, unabhängig von der angegebenen Unterkategorie 'Beauty & Wellness'.",325.0,96.0
545,Sports & Fitness,"Das Produkt ist ein Power Cage für Krafttraining, ein klassisches Fitnessgerät, passend zur bereits angegebenen Unterkategorie.",321.0,85.0
547,Sports & Fitness,"Quest Bars sind Protein-/Fitness-Snacks, die typischerweise unter Sport & Fitness Produkte fallen, und die Unterkategorie ist bereits explizit als 'Sports & Fitness' angegeben.",320.0,108.0
548,Home & Garden,"Küchenkleingerät (Stand-Mixer mit Zubehör) fällt unter Haushaltswaren, passend zur bereits angegebenen Unterkategorie 'Home & Garden'.",360.0,94.0
549,Home & Garden,"Painter's tape is a home improvement/DIY product, fitting the Home & Garden category.",318.0,55.0
550,Home & Garden,"Lebensmittel- und Haushaltseinkäufe (Groceries) werden am ehesten der Kategorie Home & Garden zugeordnet, da es sich um alltägliche Haushaltsprodukte handelt.",312.0,101.0
553,Computers & Electronics,Eine Computermaus ist ein PC-Peripheriegerät und fällt direkt unter Computers & Electronics.,329.0,68.0
554,Computers & Electronics,"Es handelt sich um ein Gaming-Notebook, ein klassisches Elektronikprodukt.",377.0,63.0
555,Computers & Electronics,"Eine Samsung Galaxy Watch ist ein elektronisches Wearable-Gerät, das eindeutig zur Kategorie Computers & Electronics gehört.",324.0,86.0
556,Home & Garden,"Ein Küchenmesser mit Zubehör (Zyliss Cooks Knife) fällt unter Haushaltswaren/Küchenartikel, was der Kategorie Home & Garden entspricht.",340.0,96.0
557,Home & Garden,"Eine Eiswürfelschale ist ein Küchen-/Haushaltsartikel, was unter Home & Garden fällt.",324.0,70.0
558,Home & Garden,"Lebensmittel/Snacks fallen unter Haushaltswaren für den täglichen Bedarf, am ehesten passend zu Home & Garden, da 'Groceries' keine eigene Kategorie in der Liste ist.",316.0,104.0
559,Apparel,"Die thread_category ist explizit 'Apparel', was direkt auf die Hauptkategorie Kleidung/Bekleidung hinweist.",332.0,73.0
560,Apparel,"Der Titel bezieht sich auf einen Sale bei Lululemon, einem Bekleidungshändler, und die Unterkategorie ist bereits 'Apparel'.",312.0,83.0
561,Home & Garden,"Die Unterkategorie ist bereits 'Home & Garden', und Dollarama-Angebote beziehen sich typischerweise auf Haushaltswaren und Artikel für Haus und Garten.",310.0,94.0
562,Computers & Electronics,"Der Titel beschreibt CPU, RAM und Mainboard-Komponenten, klar Computerhardware.",337.0,66.0
568,Automotive,"Chemical Guys Detailers ist ein Autopflegeprodukt zur Fahrzeugreinigung, passend zur Unterkategorie 'Automotive'.",310.0,81.0
569,Beauty & Wellness,Razors and feminine hygiene products are personal care items directly related to beauty and wellness.,309.0,57.0
574,Sports & Fitness,"Das Produkt ist eine Olympic-Hantelscheibe (Gewichtsplatte), die für Krafttraining verwendet wird, also klar der Kategorie Sports & Fitness zuzuordnen, unabhängig von der angegebenen Unterkategorie 'Beauty & Wellness'.",328.0,133.0
575,Restaurants,"Deal betrifft Pizza-Bestellung bei Domino's, eindeutig ein Restaurant-Angebot.",328.0,66.0
576,Sports & Fitness,"Osprey Porter 46 ist ein Rucksack für Outdoor-Aktivitäten, passend zur Unterkategorie Sports & Fitness.",310.0,81.0
578,Apparel,"The North Face ist eine Bekleidungsmarke, und der Deal bezieht sich auf einen Rabatt auf deren Kollektion.",308.0,72.0
581,Entertainment,"PlayOLG ist eine Online-Glücksspiel-/Lotterieplattform, ein Match-Bonus für Einzahlungen fällt unter Unterhaltung/Gaming, passend zur bereits angegebenen Unterkategorie 'Entertainment'.",311.0,118.0
591,Apparel,"Thread category is explicitly labeled 'Apparel', and Eddie Bauer is a clothing retailer offering a store-wide discount.",304.0,69.0
597,Apparel,"Der Titel bezieht sich auf Rabatte auf Masken (Gesichtsmasken), die als Bekleidungsartikel/Accessoire kategorisiert werden, passend zur angegebenen Unterkategorie 'Apparel'.",312.0,108.0
598,Computers & Electronics,"Ein GaN-Ladegerät ist ein elektronisches Zubehörprodukt (Charger), passend zur Unterkategorie Computers & Electronics.",327.0,83.0
608,Computers & Electronics,"A wireless Bluetooth mouse is a computer peripheral, fitting directly into the Computers & Electronics category.",317.0,66.0
610,Home & Garden,"Kaffeeprodukte für den Haushalt fallen unter Lebensmittel/Haushaltsbedarf, was am ehesten der Kategorie Home & Garden entspricht, da es keine spezifischere Lebensmittelkategorie gibt.",327.0,113.0
611,Sports & Fitness,Die angegebene Unterkategorie entspricht direkt der zulässigen Hauptkategorie 'Sports & Fitness'.,296.0,73.0
613,Sports & Fitness,"Die angegebene Unterkategorie ist bereits 'Sports & Fitness', und der Titel bezieht sich auf Outdoor-/Bekleidungsmarken, die typischerweise im Sport- und Fitnessbereich verkauft werden, daher wird die vorgegebene Kategorie übernommen.",327.0,135.0
617,Computers & Electronics,"Wireless earbuds/headphones are consumer electronics products, matching the thread category directly.",353.0,57.0
618,Computers & Electronics,"Amazon Echo ist ein Smart-Speaker/elektronisches Gerät, was direkt der Kategorie Computers & Electronics entspricht.",314.0,80.0
620,Home & Garden,"Ein LED-Shop-Light ist eine Beleuchtungsleuchte für Haus/Werkstatt, passend zur Unterkategorie Home & Garden.",330.0,83.0
626,Kids & Babies,"Das Produkt ist ein Spielzeug-Eiscreme-Set, was eindeutig in die Kategorie Kids & Babies fällt, wie auch die angegebene Unterkategorie bestätigt.",309.0,99.0
631,Computers & Electronics,microSD-Speicherkarten sind Computer-/Elektronikzubehör für Datenspeicherung.,318.0,64.0
634,Apparel,"Das Produkt ist ein T-Shirt (Bekleidung), auch wenn es ein Playstation-Motiv trägt, handelt es sich primär um Kleidung.",321.0,83.0
636,Home & Garden,"Der Artikel ist ein Gartenschlauchwagen/Aufroller, was direkt in die Kategorie Home & Garden fällt.",353.0,74.0
638,Apparel,"Die Unterkategorie ist explizit 'Apparel' und der Titel bezieht sich auf einen Sale mit Rabatt und Geschenkkarte, typisch für Bekleidungsangebote.",305.0,94.0
639,Computers & Electronics,"Google Nest Hub ist ein smartes Elektronikgerät (Smart Display), passt direkt zur Kategorie Computers & Electronics.",307.0,78.0
640,Computers & Electronics,"AirPods Pro sind ein elektronisches Audio-Gerät von Apple, das eindeutig in die Kategorie Computers & Electronics fällt.",311.0,81.0
641,Computers & Electronics,"USB/AC-Ladegeräte sind elektronisches Zubehör, passend zur angegebenen Unterkategorie Computers & Electronics.",322.0,78.0
642,Computers & Electronics,"Das Produkt ist RAM-Speicher (DDR4 SDRAM), ein Computerbauteil, das eindeutig unter die Kategorie Computers & Electronics fällt.",368.0,91.0
644,Sports & Fitness,"Das Produkt ist eine Olympic-Hantelscheibe für Krafttraining, was eindeutig in die Kategorie Sports & Fitness fällt.",328.0,83.0
645,Computers & Electronics,"Das Produkt ist eine iOS-Spiele-App, was direkt unter die Kategorie Computers & Electronics fällt, da es sich um digitale Software/Elektronik handelt.",319.0,92.0
646,Sports & Fitness,"Snowboard-Ausrüstung fällt unter Sportartikel, passend zur angegebenen Unterkategorie.",321.0,69.0
649,Home & Garden,"Ein Thermacell-Flächenrepellent (Mückenschutz) ist ein Produkt für den Außenbereich/Garten, passend zur bereits angegebenen Unterkategorie Home & Garden.",302.0,98.0
652,Computers & Electronics,"Eine Grafikkarte ist ein Computer-Hardwarekomponente, was eindeutig in die Kategorie Computers & Electronics fällt.",325.0,80.0
657,Home & Garden,"Air freshener kits are household products, matching the given thread_category of Home & Garden.",347.0,52.0
658,Computers & Electronics,"Die Razer DeathAdder V2 ist eine Gaming-Maus, also ein Computerzubehör/Elektronikprodukt.",305.0,75.0
662,Home & Garden,"Lebensmittel/Groceries fallen als Haushaltsbedarf am ehesten unter Home & Garden, da keine spezifischere Kategorie wie Restaurants (Gastronomie) zutrifft.",307.0,99.0
663,Computers & Electronics,"Es handelt sich um einen PC-Digital-Download eines Videospiels, was der Unterkategorie 'Computers & Electronics' entspricht.",328.0,79.0
665,Computers & Electronics,"Microsoft 365 ist eine Softwareabo-Lösung, was direkt unter Computers & Electronics fällt.",324.0,69.0
666,Restaurants,"Der Titel bezieht sich auf ein Angebot von Papa John's, einer Pizzakette, und die Unterkategorie ist bereits als 'Restaurants' angegeben.",319.0,87.0
673,Home & Garden,"Kompressor und Nagler sind Werkzeuge für Haus- und Gartenarbeiten, passend zur bereits angegebenen Unterkategorie.",331.0,80.0
674,Home & Garden,"Ein Gasgrill (BBQ) ist ein Produkt für den Garten- und Outdoor-Bereich zu Hause, passend zur bereits angegebenen Unterkategorie 'Home & Garden'.",321.0,100.0
679,Computers & Electronics,"Die Logitech C922x ist eine Webcam, ein elektronisches Computerzubehör, was direkt der Kategorie Computers & Electronics entspricht.",315.0,83.0
680,Computers & Electronics,"Das Produkt ist eine interne SSD-Festplatte, ein klassisches Computer-Hardware-Bauteil.",331.0,70.0
685,Entertainment,"Online-Gitarrenunterricht-Abo ist ein digitaler Unterhaltungs-/Lerndienst, passt zur Kategorie Entertainment und nicht zu Musikinstrumenten (Einzelhandel).",311.0,105.0
686,Computers & Electronics,"Web hosting, domain names, and email services are digital/tech products directly related to computers and electronics/internet services.",325.0,62.0
693,Home & Garden,"Ein Bidet ist eine Badezimmerausstattung, die zur Haus- und Gartenkategorie (Home & Garden) gehört, verkauft bei Home Depot.",325.0,87.0
694,Automotive,"Der Titel beschreibt ein USB-Autoladegerät, ein Kfz-Zubehörprodukt, passend zur angegebenen Unterkategorie Automotive.",312.0,84.0
696,Apparel,"Der Titel bezieht sich direkt auf Kleidung und Schuhe, was der Kategorie Apparel entspricht.",306.0,67.0
703,Computers & Electronics,"WD Red is an internal hard drive, a computer storage component, matching the given thread_category directly.",317.0,58.0
705,Home & Garden,"Lebensmittel/Groceries fallen unter Haushaltsbedarf, da keine spezifischere Kategorie wie Restaurants für Einzelhandelsprodukte zutrifft.",336.0,92.0
706,Beauty & Wellness,"Elektrische Zahnbürsten-Ersatzköpfe betreffen persönliche Pflege/Mundhygiene, passend zu Beauty & Wellness.",345.0,86.0
708,Apparel,"Die Unterkategorie ist explizit 'Apparel' und der Titel bezieht sich auf Rabatte auf ausgewählte Stile, was auf Kleidung hinweist.",308.0,87.0
713,Home & Garden,"Ein Kitchenaid-Toaster ist ein Küchengerät, das unter Haushaltswaren fällt, passend zur bereits angegebenen Unterkategorie Home & Garden.",324.0,92.0
715,Home & Garden,"Ein Rasensprenger ist ein Gartenartikel, passend zur Kategorie Home & Garden.",316.0,63.0
716,Home & Garden,"Mr. Clean Magic Eraser ist ein Haushaltsreinigungsprodukt, passend zur Unterkategorie Home & Garden.",318.0,77.0
722,Apparel,"Burberry ist eine Modemarke, und der Titel bezieht sich auf einen Sale für Bekleidung/Accessoires, was direkt der Kategorie Apparel entspricht.",297.0,88.0
726,Computers & Electronics,"Das Thema betrifft digitale Skills und Microsoft-Workshops, direkt zugeordnet zur Unterkategorie Computers & Electronics.",324.0,81.0
728,Computers & Electronics,"Das Produkt ist ein USB-Ladegerät, ein elektronisches Zubehörteil, das eindeutig in die Kategorie Computers & Electronics fällt.",338.0,87.0
733,Computers & Electronics,"Das Produkt ist DDR4-Arbeitsspeicher (RAM) für Desktop-Computer, was eindeutig in die Kategorie Computers & Electronics fällt.",360.0,90.0
734,Computers & Electronics,USB-Flash-Laufwerk ist ein Computerspeichergerät/Elektronikprodukt.,342.0,64.0
738,Computers & Electronics,"Eine Webcam ist ein Computerzubehör/elektronisches Gerät, passend zur Kategorie Computers & Electronics.",315.0,74.0
739,Computers & Electronics,"WiFi-Outlets sind smarte elektronische Geräte, passend zur angegebenen Unterkategorie 'Computers & Electronics'.",327.0,78.0
740,Home & Garden,"Die angegebene Unterkategorie ist bereits 'Home & Garden', und der Titel bezieht sich auf allgemeine Dollarama-Angebote, die typischerweise Haushaltswaren umfassen.",310.0,100.0
742,Apparel,"Die Unterkategorie ist explizit 'Apparel', und Brillen/Sonnenbrillen werden typischerweise als Accessoires/Bekleidung klassifiziert.",322.0,86.0
745,Computers & Electronics,"Das Produkt ist ein PC-Gehäuse mit Wasserkühlung, Riser-Karte und Netzteil, also klassisches Computerzubehör.",340.0,84.0
746,Computers & Electronics,"Das Produkt ist ein USB-C zu Lightning Ladekabel, ein elektronisches Zubehörteil, was direkt der Kategorie Computers & Electronics entspricht.",326.0,92.0
751,Computers & Electronics,Ein Gaming-Monitor ist ein Computer-Peripheriegerät und fällt direkt unter Computers & Electronics.,315.0,73.0
753,Restaurants,"Das Produkt ist ein Kaffeegetränk (Starbucks Frappuccino/Ice Coffee), das thematisch am ehesten zu Getränken/Restaurants passt, da es sich um ein konsumierbares Kaffeeprodukt handelt.",340.0,116.0
756,Travel,"Der Thread bezieht sich auf Aeroplan-Meilen, ein Vielfliegerprogramm, was direkt der Reisekategorie zugeordnet wird.",328.0,82.0
758,Computers & Electronics,"Das Angebot beinhaltet ein Google Nest Hub, ein Smart-Home-Elektronikgerät, sowie einen Streaming-Dienst, was der Kategorie Computers & Electronics entspricht.",334.0,103.0
761,Computers & Electronics,"Die angegebene Unterkategorie ist bereits 'Computers & Electronics', und ein Gaming-Chair wird typischerweise dieser Kategorie im Kontext von Gaming-Zubehör zugeordnet.",331.0,105.0
769,Home & Garden,"Lebensmittel/Grocery-Artikel fallen unter Haushaltsbedarf, da 'Groceries' am ehesten der Kategorie Home & Garden zugeordnet wird, die alltägliche Haushaltseinkäufe umfasst.",324.0,114.0
773,Home & Garden,"Ein Weed Eater (Freischneider/Rasentrimmer) ist ein Gartengerät, passend zur angegebenen Unterkategorie Home & Garden.",328.0,84.0
774,Sports & Fitness,"Ein Flachbank für Krafttraining ist Fitnessausrüstung, passend zur angegebenen Unterkategorie.",307.0,72.0
777,Restaurants,"Das Angebot bezieht sich auf Lebensmittel/Getränke (Bierpackungen und ein Gratis-Charcuterie-Board), was am ehesten der Kategorie Restaurants (Essen & Trinken) zugeordnet wird, da keine passendere Kategorie für Lebensmittel existiert.",317.0,135.0
782,Computers & Electronics,"Eero Mesh-Systeme sind Netzwerk-Hardware/Elektronikprodukte, die direkt der Kategorie Computers & Electronics entsprechen.",318.0,87.0
783,Apparel,"Das Produkt (Ultraboost) ist ein Schuh/Bekleidungsartikel, und die Unterkategorie ist explizit 'Apparel'.",305.0,79.0
784,,[FEHLER/FALLBACK - kein gueltiges LLM-Ergebnis],0.0,0.0
787,Computers & Electronics,"Es handelt sich um einen digitalen PC/Mac-Spiele-Download, was direkt der Kategorie Computers & Electronics entspricht.",328.0,79.0
789,Automotive,"Rubber wheel chocks are automotive accessories used to secure vehicle wheels, directly matching the Automotive category.",308.0,63.0
791,Restaurants,"Betrifft ein Pizza-Angebot von Domino's, also ein Restaurant-Deal.",318.0,59.0
794,Beauty & Wellness,"Kontaktlinsen fallen unter Beauty & Wellness (Sehpflege/persönliche Pflegeprodukte), passend zur angegebenen Unterkategorie.",306.0,90.0
795,Computers & Electronics,"Usenet-Zugang ist ein Online-Dienst/Internetabonnement, das direkt der Kategorie Computers & Electronics zuzuordnen ist.",322.0,84.0
802,Entertainment,"Das Angebot betrifft kostenloses Gaming für Scene-Mitglieder, was direkt unter Unterhaltung fällt.",322.0,72.0
803,Kids & Babies,"Ein Hochstuhl ist ein Babyprodukt, passend zur bereits angegebenen Unterkategorie 'Kids & Babies'.",318.0,78.0
804,Sports & Fitness,"Decathlon ist ein Sportartikel-Händler, und die Unterkategorie 'Sports & Fitness' bestätigt die direkte Zuordnung.",311.0,83.0
807,Computers & Electronics,"Ein Gaming-Headset ist ein elektronisches Computerzubehör, passend zur angegebenen Unterkategorie.",335.0,72.0
808,Home & Garden,"Lebensmittel- und Haushaltseinkäufe fallen unter alltägliche Haushaltsbedürfnisse, die am ehesten der Kategorie Home & Garden entsprechen, da es keine spezifischere Kategorie für Lebensmittel gibt.",320.0,119.0
816,Computers & Electronics,"Ein WeMo Smart Plug ist ein elektronisches Smart-Home-Gerät, das in die Kategorie Computers & Electronics fällt.",332.0,81.0
817,Automotive,"Ein Wagenheber (Floor Jack) ist ein Kfz-Werkzeug, das direkt der Kategorie Automotive zugeordnet wird.",319.0,79.0
820,Computers & Electronics,"Die vorgegebene Unterkategorie ist bereits eine der zulässigen Hauptkategorien, daher wird sie direkt übernommen.",308.0,78.0
823,Home & Garden,"Wine chiller and bottle cooler are home/kitchen items, matching the given thread_category.",330.0,56.0
825,Computers & Electronics,"Blue Yeti ist ein Mikrofon, ein elektronisches Computer-Peripheriegerät, was direkt der Kategorie Computers & Electronics entspricht.",327.0,88.0
826,Computers & Electronics,"Externe Festplatte ist ein Computer-/Elektronikprodukt, entspricht direkt der thread_category.",329.0,67.0
828,Computers & Electronics,"Das Produkt ist ein externes Grafikkartengehäuse mit Thunderbolt-3-Anschluss, ein typisches Computer-Zubehörteil.",321.0,85.0
831,Restaurants,"Die Unterkategorie ist explizit 'Restaurants' und der Titel bezieht sich auf einen Rabatt auf Bestellungen (Pickup oder Lieferung), was typisch für Restaurant-Angebote ist.",319.0,105.0
832,Apparel,"GAP ist ein Bekleidungsgeschäft, und der Deal bezieht sich auf Rabatte auf Kleidung, was direkt der Kategorie Apparel entspricht.",327.0,88.0
834,Home & Garden,"Lebensmittel/Grocery-Angebote werden typischerweise unter Haushalts- und Alltagsbedarf (Home & Garden) eingeordnet, da es keine spezifischere passende Kategorie wie Restaurants (dort geht es um Essen gehen) gibt.",329.0,123.0
835,Home & Garden,"Lebensmittel/Getränke fallen unter Haushaltswaren, da 'Groceries' am ehesten dem täglichen Haushaltsbedarf zuzuordnen ist und keine spezifischere Kategorie (z.B. Restaurants) zutrifft.",307.0,119.0
837,Automotive,"Waterless car wash product falls directly under the Automotive category, and the thread_category itself confirms this classification.",311.0,58.0
843,Computers & Electronics,"Usenet-Zugang ist ein digitaler/Internet-Dienst, der zur Kategorie Computers & Electronics gehört.",353.0,74.0
844,Beauty & Wellness,"Manscaped Lawnmower 2.0 ist ein Körperpflege-/Trimmer-Produkt, das unter Beauty & Wellness fällt.",326.0,83.0
845,Home & Garden,"Der Titel bezieht sich auf Küchengeräte und -zubehör (kitchen prep and appliances), was direkt in die Kategorie Home & Garden fällt, zudem entspricht dies der angegebenen Unterkategorie.",328.0,107.0
847,Apparel,"Ultraboost sind Schuhe von Adidas, ein Bekleidungs-/Modeartikel, passend zur Unterkategorie 'Apparel'.",310.0,79.0
850,Apparel,"Es handelt sich um eine Jacke (North Face Gotham Jacket), also ein Bekleidungsstück, was direkt der Kategorie Apparel entspricht.",323.0,82.0
851,Home & Garden,"Lebensmittel/Groceries fallen als Haushaltswaren unter die Kategorie Home & Garden, da keine spezifischere Kategorie wie Restaurants zutrifft (es handelt sich um Einzelhandelsware, kein Restaurantangebot).",326.0,119.0
854,Computers & Electronics,"JBL TUNE 600BTNC are wireless headphones, an electronics product, matching the given thread_category directly.",321.0,65.0
856,Restaurants,"Die thread_category ist explizit 'Restaurants', was direkt mit der zulässigen Hauptkategorie übereinstimmt.",325.0,71.0
858,Computers & Electronics,"Smart power strip is a networked electronic/smart home device, fitting the Computers & Electronics category.",317.0,60.0
860,Computers & Electronics,"Das Ultimate Ears WONDERBOOM 2 ist ein tragbarer Bluetooth-Lautsprecher, also ein elektronisches Gerät, was direkt der Kategorie Computers & Electronics entspricht.",325.0,108.0
866,Computers & Electronics,"Das Produkt ist ein USB-Ladegerät mit Kabel, ein typisches Elektronikzubehör.",340.0,68.0
867,Home & Garden,"Lebensmittel/Vorräte für den Haushalt fallen unter Haushaltsbedarf, da 'Groceries' keine eigene Kategorie in der Liste ist und am ehesten zu Home & Garden passt.",332.0,103.0
868,Home & Garden,"Lysol spray is a household cleaning/disinfectant product, fitting under Home & Garden despite being listed under Groceries.",306.0,67.0
872,Home & Garden,"Wine glasses are kitchen/dining glassware, fitting under Home & Garden.",333.0,54.0
873,Computers & Electronics,"Es handelt sich um eine App aus dem Microsoft Store (Software), was direkt in die Kategorie Computers & Electronics fällt.",310.0,76.0
874,Home & Garden,"Lebensmittel/Kaffee für den Haushalt fallen unter Haus- und Gartenbedarf, da keine spezifischere Kategorie wie Restaurants zutrifft (es handelt sich um Einzelhandelsware zum Selbstverbrauch, nicht Gastronomie).",324.0,129.0
875,Computers & Electronics,"Das Ooma Telo ist ein elektronisches VoIP-Gerät für die Heimtelefonie, was direkt in die Kategorie Computers & Electronics fällt.",312.0,88.0
880,Home & Garden,"GoodFood ist ein Lebensmittel-/Kochbox-Lieferservice, was unter Haushalt/Lebensmittel (Home & Garden) fällt, da keine spezifischere Kategorie wie Restaurants zutrifft (es handelt sich um Lebensmittelzustellung, nicht Restaurantbesuch).",310.0,143.0
884,Home & Garden,"Küchenmesser-Set mit Messerblock ist ein Haushaltsartikel für die Küche, passend zur angegebenen Unterkategorie Home & Garden.",323.0,84.0
887,Apparel,"Die Unterkategorie ist explizit 'Apparel', daher wird der Titel dieser Hauptkategorie direkt zugeordnet.",313.0,73.0
889,Home & Garden,"Lebensmittel/Kaffeekapseln für den Haushalt fallen unter Haushaltsbedarf, da 'Groceries' am ehesten der Kategorie Home & Garden entspricht, die Alltags- und Haushaltsprodukte umfasst.",322.0,117.0
895,Restaurants,"Der Titel bezieht sich auf einen Rabatt bei Domino's Pizza, einem Restaurant, und die Unterkategorie ist bereits 'Restaurants'.",350.0,86.0
900,,[FEHLER/FALLBACK - kein gueltiges LLM-Ergebnis],0.0,0.0
901,Entertainment,"Es handelt sich um ein kostenloses Audible-Hörbuch, also ein Unterhaltungsmedium, was direkt der Kategorie Entertainment entspricht.",325.0,85.0
905,Kids & Babies,"Das Produkt ist ein tragbarer Baby-Rocker, ein Babyartikel, der direkt der Kategorie Kids & Babies entspricht.",311.0,81.0
906,Home & Garden,"Ein Cast-Iron Dutch Oven ist ein Küchen-/Kochgeschirr-Artikel, der zur Kategorie Home & Garden gehört, wie auch die angegebene Unterkategorie bestätigt.",321.0,106.0
907,Computers & Electronics,"MicroSD memory cards are computer/electronics storage accessories, matching the given thread category.",347.0,57.0
912,Computers & Electronics,"Bose Bass Module 500 ist ein Audio-Elektronikgerät (Lautsprecher/Subwoofer), passt zur Kategorie Computers & Electronics.",316.0,88.0
